Name|Ingredients|Steps|Time(min)|Difficulty|Tags|Region|Tier
Lasagna|lasagna noodles, beef, tomato sauce, ricotta, mozzarella|Layer ingredients and bake.|90|Hard|Italian, Pasta|Italy|5
Chicken Quesadilla|tortilla, chicken, cheese, peppers|Cook tortilla with filling.|20|Easy|Mexican, Snack|Mexico|2
Miso Soup|miso paste, tofu, seaweed, green onion|Simmer ingredients in water.|15|Easy|Japanese, Soup|Japan|1
Shepherd's Pie|ground lamb, mashed potatoes, vegetables|Layer ingredients and bake.|75|Medium|British, Comfort Food|UK|4
Bruschetta|bread, tomato, basil, garlic, olive oil|Top toasted bread with mixture.|10|Easy|Italian, Appetizer|Italy|1
Ratatouille|eggplant, zucchini, bell pepper, tomato, onion|Bake vegetables in layers.|50|Medium|French, Vegetarian|France|3
Croissant|flour, butter, yeast, milk, sugar|Fold dough with butter and bake.|120|Hard|French, Pastry|France|5
Chicken Tikka Masala|chicken, yogurt, tomato, cream, spices|Marinate chicken; cook in sauce.|60|Medium|Indian, Curry|India|4
Shrimp Scampi|shrimp, garlic, butter, lemon, pasta|Cook shrimp and toss with pasta.|20|Easy|Italian, Seafood|Italy|2
Beef Enchiladas|tortillas, beef, cheese, enchilada sauce|Roll and bake.|40|Medium|Mexican, Dinner|Mexico|3
Veggie Stir Fry|broccoli, carrots, peppers, soy sauce, garlic|Stir fry vegetables with sauce.|20|Easy|Asian, Vegetarian|China|2
Apple Pie|apples, flour, butter, sugar, cinnamon|Assemble and bake pie.|60|Medium|Dessert, Baking|USA|4
Ceviche|fish, lime, onion, chili, cilantro|Marinate fish in lime juice.|25|Medium|Latin American, Seafood|Peru|3
Frittata|eggs, spinach, cheese, onion|Cook in pan and finish in oven.|25|Easy|Breakfast, Vegetarian|Italy|2
BBQ Ribs|pork ribs, BBQ sauce, spices|Grill ribs with sauce.|120|Hard|American, Meat|USA|5
Gazpacho|tomatoes, cucumber, bell pepper, garlic|Blend ingredients and chill.|15|Easy|Spanish, Soup|Spain|1
Ramen|noodles, pork, egg, broth, scallions|Cook noodles and assemble soup.|45|Medium|Japanese, Noodles|Japan|3
Stuffed Peppers|bell pepper, rice, beef, tomato|Stuff and bake peppers.|60|Medium|Dinner, Vegetarian|Mediterranean|4
Banh Mi|baguette, pork, pickled vegetables, cilantro|Assemble sandwich with ingredients.|30|Medium|Vietnamese, Sandwich|Vietnam|3
Clam Chowder|clams, potatoes, cream, onion|Cook ingredients into soup.|50|Medium|American, Seafood|USA|3
Macarons|almond flour, egg whites, sugar, food coloring|Mix, pipe, and bake.|90|Hard|French, Pastry|France|5
Chicken Salad|chicken, mayonnaise, celery, grapes|Mix ingredients.|15|Easy|Salad, Quick|USA|1
Beef Wellington|beef, puff pastry, mushroom, mustard|Wrap and bake.|120|Hard|British, Dinner|UK|5
Shakshuka|eggs, tomato, peppers, onion|Simmer vegetables and poach eggs.|30|Medium|Middle Eastern, Breakfast|Middle East|3
Fish Tacos|fish, tortilla, cabbage, salsa|Assemble tacos.|20|Easy|Mexican, Seafood|Mexico|2
Eggplant Parmesan|eggplant, tomato sauce, mozzarella, parmesan|Bake layered ingredients.|60|Medium|Italian, Vegetarian|Italy|4
Tomato Bruschetta|tomatoes, basil, garlic, bread|Top bread with tomato mixture.|10|Easy|Italian, Appetizer|Italy|1
Beef Stir Fry|beef, broccoli, soy sauce, garlic|Stir fry beef and veggies.|25|Medium|Asian, Quick|China|3
Quiche Lorraine|eggs, cream, bacon, pastry|Bake mixture in pastry.|50|Medium|French, Breakfast|France|3
Veggie Burger|bun, beans, lettuce, tomato, cheese|Assemble burger and cook patty.|30|Easy|American, Vegetarian|USA|2
Turkey Sandwich|bread, turkey, lettuce, tomato, mayo|Assemble sandwich.|10|Easy|Quick, Lunch|USA|1
